Location ID,10/12 Usage,11/12 Usage,12/12 Usage,1/13 Usage,2/13 Usage,3/13 Usage,4/13 Usage,5/13 Usage,6/13 Usage,7/13 Usage,8/13 Usage,9/13 Usage,Service Address
68430,4,3,2,3,4,2,3,4,3,4,4,5,208 SANFORD AVE
68432,2,2,2,2,4,0,1,3,1,4,3,2,206 SANFORD AVE
68436,0,8,17,22,12,8,1,1,0,5,2,2,411 W ASH ST
68438,1,1,0,1,1,1,0,2,1,1,1,1,409 W ASH ST
68440,1,1,1,1,1,0,1,0,1,1,1,1,407 W ASH ST 
68442,2,2,2,2,2,2,2,3,2,1,1,2,405 W ASH ST
68444,6,0,1,1,1,0,1,1,0,0,0,2,201 ALEXANDER AVE
68446,3,3,2,3,4,3,2,4,3,4,4,4,207 SANFORD AVE
68448,9,6,5,7,6,6,6,7,7,6,7,7,209 SANFORD AVE 
68450,4,3,4,7,6,3,4,5,6,8,7,5,211 SANFORD AVE 
68452,3,2,2,3,4,0,2,2,2,6,2,6,213 SANFORD AVE 
68454,3,3,2,4,4,1,3,3,3,4,2,3,301 SANFORD AVE
68456,1,1,2,3,4,2,2,3,1,1,3,1,303 SANFORD AVE
68458,12,13,9,11,8,8,8,10,8,7,8,12,305 SANFORD AVE
68460,3,0,5,5,5,8,1,0,0,7,5,5,307 SANFORD AVE
68462,11,7,4,7,6,5,5,3,0,0,0,0,309 SANFORD AVE 
68464,3,2,2,6,3,2,2,1,1,1,2,2,311 SANFORD AVE
68466,12,7,9,8,4,4,4,5,5,4,4,4,313 SANFORD AVE 
68468,1,1,2,3,1,2,1,3,3,3,3,2,401 SANFORD AVE
68470,5,5,4,5,5,8,3,6,5,2,6,6,403 SANFORD AVE
68472,5,4,3,4,4,2,3,3,3,0,6,5,405 SANFORD AVE
68474,8,10,9,12,8,11,10,11,16,11,10,11,407 SANFORD AVE 
68476,6,3,4,4,4,3,4,5,4,4,3,4,409 SANFORD AVE 
68478,14,14,12,20,11,10,9,13,13,19,12,11,411 SANFORD AVE
68480,3,3,3,3,4,1,2,6,3,3,3,4,415 SANFORD AVE
68482,4,6,5,10,7,3,5,6,5,4,4,6,417 SANFORD AVE
68484,6,3,3,4,4,4,3,8,4,4,3,5,419 SANFORD AVE
68486,0,0,2,1,0,0,0,0,0,0,1,1,421 SANFORD AVE 
68488,7,4,5,4,5,7,4,8,5,6,12,12,500 W WORLEY ST
68490,3,3,2,2,1,2,3,2,2,0,7,6,502 W WORLEY ST
68492,1,1,2,2,1,2,1,2,1,2,1,1,504 W WORLEY ST
68494,5,5,5,6,5,6,5,0,12,0,3,2,506 W WORLEY ST 
68496,10,16,34,9,9,7,7,10,10,14,12,15,508 W WORLEY ST
68498,13,13,13,15,10,9,7,11,9,9,10,9,510 W WORLEY ST
68500,4,4,3,4,4,2,3,3,3,5,4,7,418 HIRTH AVE 
68502,4,3,2,3,4,3,3,4,3,1,2,1,416 HIRTH AVE
68504,2,2,2,2,4,0,3,3,2,3,2,3,414 HIRTH AVE 
68506,2,3,3,3,4,0,2,2,4,7,3,4,412 HIRTH AVE 
68508,3,3,1,1,3,0,2,3,3,5,4,5,410 HIRTH AVE
68510,3,3,3,4,4,1,3,4,0,4,0,1,408 HIRTH AVE
68514,0,1,0,0,1,0,0,0,1,3,3,4,404 HIRTH AVE 
68518,2,2,2,3,4,0,2,2,4,10,3,5,400 HIRTH AVE
68520,0,0,0,0,0,0,0,1,0,0,1,3,312 HIRTH AVE
68522,4,4,3,4,4,4,3,3,4,2,6,6,310 HIRTH AVE
68524,5,6,5,7,6,4,6,6,7,7,10,17,308 HIRTH AVE 
68526,0,0,0,0,0,0,0,0,0,0,0,0,306 HIRTH AVE 
68530,5,5,5,6,5,5,4,7,4,7,5,12,300 HIRTH AVE
68532,4,4,3,4,4,3,4,4,4,4,4,4,212 HIRTH AVE
